Dataset,Model,AUC,ACC,LOSS,n_samples
InlineSkate,FEDformer,0.586514,0.169091,0.402023,550
InlineSkate,Informer,0.574775,0.190909,0.417981,550
InlineSkate,TS2Vec,0.492824,0.085455,0.461325,550
InlineSkate,Two-Tower,0.556289,0.160000,0.445015,550
InsectEPGRegularTrain,FEDformer,0.840911,0.730924,0.468776,249
InsectEPGRegularTrain,Informer,0.822042,0.714859,0.464319,249
InsectEPGRegularTrain,TS2Vec,0.644267,0.522088,0.610188,249
InsectEPGRegularTrain,Two-Tower,0.838442,0.690763,0.415487,249
InsectEPGSmallTrain,FEDformer,0.829956,0.670683,0.539068,249
InsectEPGSmallTrain,Informer,0.823634,0.686747,0.550176,249
InsectEPGSmallTrain,TS2Vec,0.730585,0.670683,0.645129,249
InsectEPGSmallTrain,Two-Tower,0.802432,0.650602,0.475339,249
InsectWingbeatSound,FEDformer,0.858854,0.472727,0.250656,1980
InsectWingbeatSound,Informer,0.740741,0.248990,0.298890,1980
InsectWingbeatSound,TS2Vec,0.607758,0.162121,0.306992,1980
InsectWingbeatSound,Two-Tower,0.939300,0.626263,0.159005,1980
ItalyPowerDemand,FEDformer,0.927561,0.841440,0.392218,1028
ItalyPowerDemand,Informer,0.954045,0.907588,0.386705,1028
ItalyPowerDemand,TS2Vec,0.870399,0.824903,0.683218,1028
ItalyPowerDemand,Two-Tower,0.989754,0.950389,0.222850,1028
LargeKitchenAppliances,FEDformer,0.273016,0.235294,0.703457,17
LargeKitchenAppliances,Informer,0.428571,0.411765,0.694663,17
LargeKitchenAppliances,TS2Vec,0.496825,0.294118,0.737854,17
LargeKitchenAppliances,Two-Tower,0.461905,0.176471,0.676849,17
Lightning2,FEDformer,0.656926,0.557377,0.669692,61
Lightning2,Informer,0.743506,0.606557,0.639860,61
Lightning2,TS2Vec,0.597403,0.540984,0.680183,61
Lightning2,Two-Tower,0.751082,0.704918,0.619484,61
Lightning7,FEDformer,0.695947,0.356164,0.385363,73
Lightning7,Informer,0.842440,0.424658,0.372924,73
Lightning7,TS2Vec,0.520378,0.315068,0.464630,73
Lightning7,Two-Tower,0.945413,0.684932,0.216022,73
Mallat,FEDformer,0.779987,0.123241,0.386223,2345
Mallat,Informer,0.737674,0.123241,0.412380,2345
Mallat,TS2Vec,0.426823,0.093817,0.468630,2345
Mallat,Two-Tower,0.991514,0.795309,0.115975,2345
Meat,FEDformer,0.922917,0.550000,0.629892,60
Meat,Informer,0.755417,0.416667,0.635308,60
Meat,TS2Vec,0.772500,0.333333,0.640251,60
Meat,Two-Tower,0.970833,0.866667,0.520253,60
MedicalImages,FEDformer,0.820925,0.555263,0.202371,760
MedicalImages,Informer,0.757762,0.511842,0.234506,760
MedicalImages,TS2Vec,0.501558,0.514474,0.256008,760
MedicalImages,Two-Tower,0.909575,0.614474,0.169945,760
MelbournePedestrian,FEDformer,0.955186,0.786804,0.125555,2425
MelbournePedestrian,Informer,0.952706,0.769072,0.136253,2425
MelbournePedestrian,TS2Vec,0.844962,0.565361,0.287788,2425
MelbournePedestrian,Two-Tower,0.952644,0.789278,0.116650,2425
MiddlePhalanxOutlineAgeGroup,FEDformer,0.590990,0.612245,0.543084,147
MiddlePhalanxOutlineAgeGroup,Informer,0.593695,0.619048,0.557821,147
MiddlePhalanxOutlineAgeGroup,TS2Vec,0.532071,0.598639,0.558624,147
MiddlePhalanxOutlineAgeGroup,Two-Tower,0.573144,0.625850,0.551797,147
MiddlePhalanxOutlineCorrect,FEDformer,0.870021,0.775362,0.473366,276
MiddlePhalanxOutlineCorrect,Informer,0.829167,0.681159,0.612621,276
MiddlePhalanxOutlineCorrect,TS2Vec,0.756813,0.576087,0.678843,276
MiddlePhalanxOutlineCorrect,Two-Tower,0.867494,0.786232,0.468025,276
MiddlePhalanxTW,FEDformer,0.648390,0.400000,0.449610,110
MiddlePhalanxTW,Informer,0.648064,0.400000,0.462185,110
MiddlePhalanxTW,TS2Vec,0.470396,0.400000,0.461050,110
MiddlePhalanxTW,Two-Tower,0.653806,0.427273,0.441644,110
MixedShapesRegularTrain,FEDformer,0.940157,0.871340,0.234715,2425
MixedShapesRegularTrain,Informer,0.929313,0.729485,0.246367,2425
MixedShapesRegularTrain,TS2Vec,0.854924,0.691546,0.452677,2425
MixedShapesRegularTrain,Two-Tower,0.958653,0.841237,0.172385,2425
MixedShapesSmallTrain,FEDformer,0.881580,0.762887,0.384292,2425
MixedShapesSmallTrain,Informer,0.846620,0.735258,0.458096,2425
MixedShapesSmallTrain,TS2Vec,0.596591,0.290722,0.504893,2425
MixedShapesSmallTrain,Two-Tower,0.919892,0.743093,0.254110,2425
MoteStrain,FEDformer,0.824637,0.777060,0.585994,1238
MoteStrain,Informer,0.917291,0.838449,0.560667,1238
MoteStrain,TS2Vec,0.446644,0.489499,0.696782,1238
MoteStrain,Two-Tower,0.961265,0.890953,0.348998,1238
NonInvasiveFetalECGThorax1,FEDformer,0.857657,0.209669,0.096892,1965
NonInvasiveFetalECGThorax1,Informer,0.822167,0.069211,0.100616,1965
NonInvasiveFetalECGThorax1,TS2Vec,0.914731,0.208651,0.103413,1965
NonInvasiveFetalECGThorax1,Two-Tower,0.993971,0.870738,0.020920,1965
NonInvasiveFetalECGThorax2,FEDformer,0.878296,0.251908,0.091573,1965
NonInvasiveFetalECGThorax2,Informer,0.741882,0.097201,0.105104,1965
NonInvasiveFetalECGThorax2,TS2Vec,0.930368,0.252417,0.102613,1965
NonInvasiveFetalECGThorax2,Two-Tower,0.995242,0.899237,0.016118,1965
OSULeaf,FEDformer,0.823405,0.433884,0.380937,242
OSULeaf,Informer,0.726939,0.247934,0.442141,242
OSULeaf,TS2Vec,0.597068,0.181818,0.445865,242
