Dataset,Correlation Two-Tower AUC,Correlation Two-Tower ACC,Correlation Two-Tower LOSS,Correlation Two-Tower N,Transformer-only AUC,Transformer-only ACC,Transformer-only LOSS,Transformer-only N,Two-Tower AUC,Two-Tower ACC,Two-Tower LOSS,Two-Tower N
Plane,0.997682,0.971429,0.054460,105,0.994878,0.961905,0.063985,105,0.997893,0.961905,0.055607,105
PowerCons,0.989136,0.972222,0.138104,180,0.983333,0.961111,0.162620,180,0.988148,0.972222,0.142302,180
ProximalPhalanxOutlineAgeGroup,0.808583,0.764151,0.354028,106,0.818576,0.773585,0.348258,106,0.814645,0.754717,0.362090,106
ProximalPhalanxOutlineCorrect,0.964151,0.909091,0.187540,121,0.965409,0.942149,0.170947,121,0.968553,0.942149,0.172647,121
ProximalPhalanxTW,0.892316,0.723577,0.274328,123,0.905414,0.707317,0.264355,123,0.909372,0.756098,0.269882,123
RefrigerationDevices,0.647381,0.467033,0.747033,364,0.619125,0.398352,0.772463,364,0.645533,0.467033,0.751124,364
Rock,0.953232,0.880000,0.178722,50,0.957037,0.920000,0.176804,50,0.953146,0.880000,0.179190,50
ScreenType,0.631606,0.466667,0.636566,60,0.620178,0.516667,0.599691,60,0.630590,0.433333,0.635541,60
SemgHandGenderCh2,0.888987,0.796667,0.436155,600,0.870085,0.775000,0.471895,600,0.895470,0.805000,0.426804,600
SemgHandMovementCh2,0.724296,0.326667,0.419235,450,0.725061,0.368889,0.417614,450,0.725410,0.335556,0.417734,450
SemgHandSubjectCh2,0.918080,0.753333,0.273567,450,0.906463,0.691111,0.294701,450,0.918407,0.760000,0.273248,450
ShakeGestureWiimoteZ,0.939111,0.640000,0.198029,50,0.925333,0.520000,0.204667,50,0.936444,0.680000,0.198634,50
ShapeletSim,0.530741,0.494444,0.710406,180,0.427531,0.416667,0.717213,180,0.524321,0.488889,0.710864,180
ShapesAll,0.927226,0.718333,0.035527,600,0.925138,0.716667,0.035330,600,0.926949,0.721667,0.035650,600
SmallKitchenAppliances,0.717824,0.754386,0.389784,57,0.565860,0.807018,0.418835,57,0.724047,0.771930,0.390457,57
SonyAIBORobotSurface1,0.944179,0.560935,0.618819,599,0.915070,0.439065,0.733326,599,0.953704,0.611018,0.591437,599
SonyAIBORobotSurface2,0.867150,0.788360,0.450038,945,0.839938,0.774603,0.483141,945,0.859819,0.787302,0.460621,945
StarLightCurves,0.976844,0.932249,0.139121,8236,0.976522,0.936741,0.129715,8236,0.978197,0.938320,0.128454,8236
Strawberry,0.957251,0.878378,0.256954,370,0.970938,0.908108,0.224272,370,0.965272,0.905405,0.232974,370
SwedishLeaf,0.986687,0.859200,0.073440,625,0.984907,0.838400,0.078216,625,0.987241,0.854400,0.072569,625
Symbols,0.973985,0.762814,0.185678,995,0.970459,0.767839,0.185309,995,0.974598,0.761809,0.184895,995
SyntheticControl,0.968427,0.933333,0.143990,300,0.955733,0.886667,0.177167,300,0.976240,0.943333,0.148371,300
ToeSegmentation1,0.590123,0.543860,0.714124,228,0.601620,0.578947,0.699716,228,0.582253,0.526316,0.725197,228
ToeSegmentation2,0.629324,0.684615,0.614803,130,0.603774,0.600000,0.686241,130,0.645440,0.738462,0.601987,130
Trace,0.953612,0.740000,0.191856,100,0.946650,0.740000,0.197122,100,0.968534,0.740000,0.184382,100
