Dataset,FEDformer AUC,FEDformer ACC,FEDformer LOSS,FEDformer N,Informer AUC,Informer ACC,Informer LOSS,Informer N,TS2Vec AUC,TS2Vec ACC,TS2Vec LOSS,TS2Vec N,Two-Tower AUC,Two-Tower ACC,Two-Tower LOSS,Two-Tower N
MiddlePhalanxOutlineAgeGroup,0.590990,0.612245,0.543084,147,0.593695,0.619048,0.557821,147,0.532071,0.598639,0.558624,147,0.573144,0.625850,0.551797,147
MiddlePhalanxOutlineCorrect,0.870021,0.775362,0.473366,276,0.829167,0.681159,0.612621,276,0.756813,0.576087,0.678843,276,0.867494,0.786232,0.468025,276
MiddlePhalanxTW,0.648390,0.400000,0.449610,110,0.648064,0.400000,0.462185,110,0.470396,0.400000,0.461050,110,0.653806,0.427273,0.441644,110
MixedShapesRegularTrain,0.940157,0.871340,0.234715,2425,0.929313,0.729485,0.246367,2425,0.854924,0.691546,0.452677,2425,0.958653,0.841237,0.172385,2425
MixedShapesSmallTrain,0.881580,0.762887,0.384292,2425,0.846620,0.735258,0.458096,2425,0.596591,0.290722,0.504893,2425,0.919892,0.743093,0.254110,2425
MoteStrain,0.824637,0.777060,0.585994,1238,0.917291,0.838449,0.560667,1238,0.446644,0.489499,0.696782,1238,0.961265,0.890953,0.348998,1238
NonInvasiveFetalECGThorax1,0.857657,0.209669,0.096892,1965,0.822167,0.069211,0.100616,1965,0.914731,0.208651,0.103413,1965,0.993971,0.870738,0.020920,1965
NonInvasiveFetalECGThorax2,0.878296,0.251908,0.091573,1965,0.741882,0.097201,0.105104,1965,0.930368,0.252417,0.102613,1965,0.995242,0.899237,0.016118,1965
OSULeaf,0.823405,0.433884,0.380937,242,0.726939,0.247934,0.442141,242,0.597068,0.181818,0.445865,242,0.723120,0.458678,0.423009,242
OliveOil,0.722030,0.400000,0.532679,30,0.505270,0.400000,0.553628,30,0.498647,0.400000,0.599001,30,0.956594,0.400000,0.507742,30
PLAID,0.754193,0.351955,0.252174,537,0.817383,0.463687,0.220327,537,0.779917,0.590317,0.256763,537,0.887662,0.662942,0.172782,537
PhalangesOutlinesCorrect,0.837849,0.778523,0.473760,596,0.826622,0.778523,0.487762,596,0.709388,0.647651,0.636495,596,0.851369,0.805369,0.442758,596
Phoneme,0.473355,0.112988,0.111161,1894,0.569564,0.112988,0.121432,1894,0.496155,0.130412,0.158561,1894,0.535178,0.109293,0.115262,1894
PickupGestureWiimoteZ,0.694667,0.200000,0.308556,50,0.797778,0.200000,0.351838,50,0.520000,0.180000,0.514739,50,0.897333,0.640000,0.202042,50
PigAirwayPressure,0.499434,0.038462,0.095375,208,0.502687,0.019231,0.238529,208,0.516426,0.028846,0.393117,208,0.467642,0.019231,0.099967,208
PigArtPressure,0.502357,0.019231,0.095805,208,0.508602,0.028846,0.239790,208,0.479520,0.004808,0.314846,208,0.478790,0.028846,0.098169,208
PigCVP,0.500495,0.019231,0.095522,208,0.471743,0.024038,0.235751,208,0.534125,0.024038,0.333022,208,0.487368,0.014423,0.098138,208
Plane,0.940574,0.733333,0.335534,105,0.967199,0.304762,0.413055,105,0.540611,0.114286,0.430540,105,0.997893,0.961905,0.055607,105
