Dataset,Model,AUC,ACC,LOSS,n_samples
SemgHandMovementCh2,Two-Tower,0.725410,0.335556,0.417734,450
SemgHandSubjectCh2,Correlation Two-Tower,0.918080,0.753333,0.273567,450
SemgHandSubjectCh2,Transformer-only,0.906463,0.691111,0.294701,450
SemgHandSubjectCh2,Two-Tower,0.918407,0.760000,0.273248,450
ShakeGestureWiimoteZ,Correlation Two-Tower,0.939111,0.640000,0.198029,50
ShakeGestureWiimoteZ,Transformer-only,0.925333,0.520000,0.204667,50
ShakeGestureWiimoteZ,Two-Tower,0.936444,0.680000,0.198634,50
ShapeletSim,Correlation Two-Tower,0.530741,0.494444,0.710406,180
ShapeletSim,Transformer-only,0.427531,0.416667,0.717213,180
ShapeletSim,Two-Tower,0.524321,0.488889,0.710864,180
ShapesAll,Correlation Two-Tower,0.927226,0.718333,0.035527,600
ShapesAll,Transformer-only,0.925138,0.716667,0.035330,600
ShapesAll,Two-Tower,0.926949,0.721667,0.035650,600
SmallKitchenAppliances,Correlation Two-Tower,0.717824,0.754386,0.389784,57
SmallKitchenAppliances,Transformer-only,0.565860,0.807018,0.418835,57
SmallKitchenAppliances,Two-Tower,0.724047,0.771930,0.390457,57
SonyAIBORobotSurface1,Correlation Two-Tower,0.944179,0.560935,0.618819,599
SonyAIBORobotSurface1,Transformer-only,0.915070,0.439065,0.733326,599
SonyAIBORobotSurface1,Two-Tower,0.953704,0.611018,0.591437,599
SonyAIBORobotSurface2,Correlation Two-Tower,0.867150,0.788360,0.450038,945
SonyAIBORobotSurface2,Transformer-only,0.839938,0.774603,0.483141,945
SonyAIBORobotSurface2,Two-Tower,0.859819,0.787302,0.460621,945
StarLightCurves,Correlation Two-Tower,0.976844,0.932249,0.139121,8236
StarLightCurves,Transformer-only,0.976522,0.936741,0.129715,8236
StarLightCurves,Two-Tower,0.978197,0.938320,0.128454,8236
Strawberry,Correlation Two-Tower,0.957251,0.878378,0.256954,370
Strawberry,Transformer-only,0.970938,0.908108,0.224272,370
Strawberry,Two-Tower,0.965272,0.905405,0.232974,370
SwedishLeaf,Correlation Two-Tower,0.986687,0.859200,0.073440,625
SwedishLeaf,Transformer-only,0.984907,0.838400,0.078216,625
SwedishLeaf,Two-Tower,0.987241,0.854400,0.072569,625
Symbols,Correlation Two-Tower,0.973985,0.762814,0.185678,995
Symbols,Transformer-only,0.970459,0.767839,0.185309,995
Symbols,Two-Tower,0.974598,0.761809,0.184895,995
SyntheticControl,Correlation Two-Tower,0.968427,0.933333,0.143990,300
SyntheticControl,Transformer-only,0.955733,0.886667,0.177167,300
SyntheticControl,Two-Tower,0.976240,0.943333,0.148371,300
ToeSegmentation1,Correlation Two-Tower,0.590123,0.543860,0.714124,228
ToeSegmentation1,Transformer-only,0.601620,0.578947,0.699716,228
ToeSegmentation1,Two-Tower,0.582253,0.526316,0.725197,228
ToeSegmentation2,Correlation Two-Tower,0.629324,0.684615,0.614803,130
ToeSegmentation2,Transformer-only,0.603774,0.600000,0.686241,130
ToeSegmentation2,Two-Tower,0.645440,0.738462,0.601987,130
Trace,Correlation Two-Tower,0.953612,0.740000,0.191856,100
Trace,Transformer-only,0.946650,0.740000,0.197122,100
Trace,Two-Tower,0.968534,0.740000,0.184382,100
TwoLeadECG,Correlation Two-Tower,0.660210,0.593503,0.666149,1139
TwoLeadECG,Transformer-only,0.609604,0.579456,0.689187,1139
TwoLeadECG,Two-Tower,0.733019,0.631255,0.616907,1139
TwoPatterns,Correlation Two-Tower,0.922349,0.751832,0.305269,3957
TwoPatterns,Transformer-only,0.926797,0.801112,0.301856,3957
TwoPatterns,Two-Tower,0.919840,0.758908,0.311917,3957
UMD,Correlation Two-Tower,0.927373,0.729167,0.361467,144
UMD,Transformer-only,0.900101,0.611111,0.428029,144
UMD,Two-Tower,0.936487,0.715278,0.351549,144
